"","gene.name","gene.annotation","operon.name","operon.comments","probeset","locbegin","locend"
"237","narI","respiratory nitrate reductase 1 gamma chain","narGHJI","nitrate reductase","narI_b1227_st",1285073,1285749
"238","oppA","periplasmic oligopeptide binding protein","oppABCDF","oligopeptide transport","oppA_b1243_st",1299206,1300837
"239","oppB","oligopeptide transport system permease protein","oppABCDF","oligopeptide transport","oppB_b1244_st",1300923,1301843
"240","oppC","oligopeptide transport system permease protein","oppABCDF","oligopeptide transport","oppC_b1245_st",1301858,1302766
"241","oppD","oligopeptide transport ATP-binding protein","oppABCDF","oligopeptide transport","oppD_b1246_st",1302778,1303787
"242","oppF","oligopeptide transport ATP-binding protein","oppABCDF","oligopeptide transport","oppF_b1247_st",1303792,1304792
"243","trpE","anthranilate synthase component I (EC 4.1.3.27)","trp","tryptophan biosynthesis","trpE_b1264_st",1319409,1320970
"244","trpD","glutamine amidotransferase (EC 4.1.3.27) and phosphoribosylanthranilate transferase (EC 2.4.2.18)","trp","tryptophan biosynthesis","trpD_b1263_st",1317813,1319407
"245","trpC","N-(5-phosphoribosyl)anthranilate isomerase (EC 5.3.1.24) and indole-3-glycerolphosphate synthetase (EC 4.1.1.48)","trp","tryptophan biosynthesis","trpC_b1262_st",1316451,1317812
"246","trpB","tryptophan synthase (EC 4.2.1.20), B protein","trp","tryptophan biosynthesis","trpB_b1261_st",1315247,1316439
"247","trpA","tryptophan synthase (EC 4.2.1.20), A protein","trp","tryptophan biosynthesis","trpA_b1260_st",1314440,1315245
"248","pyrF","orotidine 5 monophosphate (OMP) decarboxylase	pyrF	OMP decarboxylase
yciH	hypothetical 11.4 kD protein	pyrF	OMP decarboxylase
sapA	peptide transport periplasmic protein SapA	sap	peptide uptake
sapB	peptide transport system permease protein SapB	sap	peptide uptake
sapC	peptide transport system permease protein SapC	sap	peptide uptake
sapD	peptide transport system atp-binding protein SapD	sap	peptide uptake
sapF	peptide transport system ATP-binding protein SapF	sap	peptide uptake
pspA	shock protein, associated with inner membrane	pspABCDE	phage shock protein
pspB	shock protein B	pspABCDE	phage shock protein
pspC	shock protein activates psp operon expression	pspABCDE	phage shock protein
pspD	shock protein D	pspABCDE	phage shock protein
pspE	shock protein E	pspABCDE	phage shock protein
tehA	tellurite resistance protein TehA	tehAB	potassium tellurite resistance
tehB	tellurite resistance protein TehB	tehAB	potassium tellurite resistance
narZ	second nitrate reductase subunit	narZYWV	nitrate reductase
narY		narZYWV	nitrate reductase
narW		narZYWV	nitrate reductase
narV		narZYWV	nitrate reductase
fdnG	formate dehydrogenase nitrate-inducible major subunit	fdnGHI	formate dehydrogenase
fdnH	formate dehydrogenase nitrate-inducible beta subunit	fdnGHI	formate dehydrogenase
fdnI	formate dehydrogenase nitrate-inducible cytochrome b556 subunit	fdnGHI	formate dehydrogenase
hipB	HipB protein	hip	high-frequency persistence to the lethal effects
hipA	HipA protein	hip	high-frequency persistence to the lethal effects
marR	multiple antibiotic resistance protein MarR	marRAB	antibiotic resistance and oxidative stress genes
marA	multiple antibiotic resistance protein MarA	marRAB	antibiotic resistance and oxidative stress genes
marB	multiple antibiotic resistance protein MarB	marRAB	antibiotic resistance and oxidative stress genes
Regulation	transcription start; similar to phage P22 immC sequence	dicB	cell division control
ydfA	hypothetical 5.8 kD protein	dicB	cell division control
ydfB		dicB	cell division control
ydfC	hypothetical 8.3 kD protein	dicB	cell division control
dicB	cell division inhibitor	dicB	cell division control
ydfD	hypothetical 6.8 kD protein	dicB	cell division control
ydfE	35 kD YdfE	dicB	cell division control
rstA	(urpT) response regulator homolog	rst	(urp) two-component system
rstB	(uspT) sensor kinase homolog	rst	(urp) two-component system
uidA	(gusA) glucuronidase	uidABC	beta-glucuronidase
uidB	(gusB) glucuronide permease	uidABC	beta-glucuronidase
gusC	(uidC) membrane-associated protein	uidABC	beta-glucuronidase
malX	phosphotransferase system enzyme II	malXY	maltose metabolism
malY	abolishing the endogenous induction of the maltose system	malXY	maltose metabolism
pdxH	pyridoxamine 5-phosphate oxidase","pdxH-tyrS","tRNA synthetase & oxidase","pyrF_b1281_st",1339945,1340678
"249","tyrS","transfer RNA-Tyr synthetase","pdxH-tyrS","tRNA synthetase & oxidase","tyrS_b1637_st",1713972,1715246
"250","btuC","vitamin Bl2 transport; cytoplasmic membrane","btuCED","vitamin Bl2 transport","btuC_b1711_st",1792196,1793176
"251","btuE","periplasmic protein","btuCED","vitamin Bl2 transport","btuE_b1710_st",1791583,1792133
"252","btuD","vitamin Bl2 transport, membrane-associated protein","btuCED","vitamin Bl2 transport","btuD_b1709_st",1790833,1791581
"253","pheS","phenylalanine tRNA synthetase (EC 6.1.1.20), alpha subunit","pheST","phenylalanine tRNA synthetase","pheS_b1714_st",1795983,1796966
"254","pheT","phenylalanine tRNA synthetase (EC 6.1.1.20), beta subunit","pheST","phenylalanine tRNA synthetase","pheT_b1713_st",1793581,1795968
"255","celA","unknown product","celABCDF","cellobiose uptake","celA_b1738_st",1819323,1819643
"256","celB","PEP dependent phosphotransferase enzyme II cellobiose","celABCDF","cellobiose uptake","celB_b1737_st",1817880,1819238
"257","celC","enzyme III - cellobiose","celABCDF","cellobiose uptake","celC_b1736_st",1817479,1817829
"258","celD","repressor of the cel opern","celABCDF","cellobiose uptake","celD_b1735_st",1816629,1817471
"259","celF","phospho-beta-blucosidase","celABCDF","cellobiose uptake","celF_b1734_st",1815172,1816524
"260","Regulation","promoter","manXYZ","mannose uptake",NA,NA,NA
"261","manX","mannose permease subunit III-Man","manXYZ","mannose uptake","manX_b1817_st",1900072,1901043
"262","manY","mannose permease subunit II-P-Man","manXYZ","mannose uptake","manY_b1818_st",1901106,1901906
"263","manZ","mannose permease subunit II-M-Man","manXYZ","mannose uptake","manZ_b1819_st",1901910,1902770
"264","edd","6-phosphogluconate dehydratase","edd-eda","Entner-Doudoroff pathway","edd_b1851_st",1930817,1932628
"265","eda","KDPG aldolase","edd-eda","Entner-Doudoroff pathway","eda_b1850_st",1930139,1930780
"266","ruvA","holliday junction DNA helicase RuvA","ruvAB","DNA repair and recombination","ruvA_b1861_st",1943389,1944000
"267","ruvB","holliday junction DNA helicase RuvB","ruvAB","DNA repair and recombination","ruvB_b1860_st",1942370,1943380
"268","1848","(flhB) flagellar biosynthesis protein","flhBA","flagellar biosynthesis",NA,NA,NA
"269","flhA","flagellar biosynthesis protein","flhBA","flagellar biosynthesis","flhA_b1879_st",1960997,1963066
"270","tar","(cheM) ethyl-accepting chemotaxis protein 11, chemoreceptor for aspartate","cheRBYZ","motilily and chemotaxis","tar_b1886_st",1969054,1970715
"271","tap","methyl-accepting chemotaxis protein IV, peptide receptor","cheRBYZ","motilily and chemotaxis","tap_b1885_st",1967407,1969008
"272","cheR","response regulator for chemotaxis; protein glutamate methyltransferase activity (EC 2.1.1.80) methylates receptors","cheRBYZ","motilily and chemotaxis","cheR_b1884_st",1966528,1967388
"273","cheB","response regulator for chemotaxis (cheA sensor); protein methyl-esterase (EC 3.1.1.61) demethylates receptors","cheRBYZ","motilily and chemotaxis","cheB_b1883_st",1965476,1966525
"274","cheY","response regulator for chemotactic response (cheA sensor); switch regulator placing it in counterclockwisc state","cheRBYZ","motilily and chemotaxis","cheY_b1882_st",1965072,1965461
"275","cheZ","chemotactic response; CheY protein phosphatase; antagonist of CheY as switch regulator","cheRBYZ","motilily and chemotaxis","cheZ_b1881_st",1964417,1965061
"276","motA","proton conductor component of motor; no effect on switching","motABcheAW","chemotaxis","motA_b1890_st",1974280,1975163
"277","motB","enables flagellar motor rotation, linking torque machillery to cell wall; no effect on switching","motABcheAW","chemotaxis","motB_b1889_st",1973353,1974275
"278","cheA","sensor for cheY and cheB chemotactic response; histidine protein kinase (EC 2.7.1.-)","motABcheAW","chemotaxis","cheA_b1888_st",1971384,1973348
"279","cheW","positive regulator of CheA protein activity","motABcheAW","chemotaxis","cheW_b1887_st",1970860,1971363
"280","flhD","(flbB) flagellar transcriptional activator","flhDC","flagellar transcriptional activators",NA,NA,NA
"281","flhC","(flaI) flagellar transcriptional activator","flhDC","flagellar transcriptional activators","flhC_b1891_st",1975290,1975868
"282","otsB","trehalose-6-phosphate phosphatase","otsBA","trehalose synthesis","otsB_b1897_st",1979637,1980411
"283","otsA","trehalose-6-phosphate synthase","otsBA","trehalose synthesis","otsA_b1896_st",1978212,1979610
"284","araF ","L-arabinose binding preprotein","araFGH","periplasmic binding protein inner membrane protein controled by araC",NA,NA,NA
"285","Regulation","terminator","araFGH","periplasmic binding protein inner membrane protein controled by araC",NA,NA,NA
"286","araG","high-affinity L-arabinose transport system","araFGH","periplasmic binding protein inner membrane protein controled by araC","araG_b1900_st",1981578,1983092
"287","1867","","araFGH","periplasmic binding protein inner membrane protein controled by araC",NA,NA,NA
"288","araH","high-affinity L-arabinose transport system; membrane protein","araFGH","periplasmic binding protein inner membrane protein controled by araC","araH_2_b1898_st",1980578,1980838
"289","Regulation","terminator","araFGH","periplasmic binding protein inner membrane protein controled by araC",NA,NA,NA
"290","uvrY","23.9 kD protein","uvrYC","DNA repair","uvrY_b1914_st",1992726,1993382
"291","uvrC","excinuclease ABC subunit C","uvrYC","DNA repair","uvrC_b1913_st",1990897,1992663
"292","fliA","(flaD) RNA polymerase sigma factor for flagellar operon","fliAZY","flagellar biosynthesis","fliA_b1922_st",1999093,1999812
"293","fliZ","FliZ protein","fliAZY","flagellar biosynthesis","fliZ_b1921_st",1998496,1999083
"294","fliY","member of the extracellular solute-binding protein family 3","fliAZY","flagellar biosynthesis","fliY_b1920_st",1997608,1998408
"295","fliD","","fliDST","flagellar biosynthesis","fliD_b1924_st",2001895,2003301
"296","fliS","","fliDST","flagellar biosynthesis","fliS_b1925_st",2003326,2003735
"297","fliT","","fliDST","flagellar biosynthesis","fliT_b1926_st",2003737,2004101
"298","fliF","(flaBI) flagellar m-ring protein","fliFGHIJK","flagellar biosynthesis","fliF_b1938_st",2011251,2012901
"299","fliG","(flaBII) flagellar motor switch protein FliG","fliFGHIJK","flagellar biosynthesis","fliG_b1939_st",2012910,2013868
"300","fliH","(flaBIII) flagellar assembly protein FliH","fliFGHIJK","flagellar biosynthesis","fliH_b1940_st",2013898,2014575
"301","fliI","(flaC) flagellar biosynthesis; export of flagellar proteins?","fliFGHIJK","flagellar biosynthesis","fliI_b1941_st",2014577,2015949
"302","fliJ","(flaO) flagellar biosynthesis","fliFGHIJK","flagellar biosynthesis","fliJ_b1942_st",2015968,2016407
"303","fliK","(flaE) flagellar biosynthesis, hook length control","fliFGHIJK","flagellar biosynthesis","fliK_b1943_st",2016412,2017535
"304","fliL","(flaAI) FliL protein","fliLMNOPQR","flagellar biosynthesis","fliL_b1944_st",2017640,2018104
"305","fliM","(flaAII) flagellar motor switch protein FliM","fliLMNOPQR","flagellar biosynthesis","fliM_b1945_st",2018109,2019109
"306","fliN","(motD) flagellar motor switch protein FliN","fliLMNOPQR","flagellar biosynthesis","fliN_b1946_st",2019114,2019523
"307","fliO","(flbD) flagellar protein FliO","fliLMNOPQR","flagellar biosynthesis","fliO_b1947_st",2019586,2019890
"308","fliP","(flaR) flagellar biosynthesis","fliLMNOPQR","flagellar biosynthesis","fliP_b1948_st",2019892,2020628
"309","fliQ","(flaQ) flagellar biosynthesis","fliLMNOPQR","flagellar biosynthesis","fliQ_b1949_st",2020638,2020907
"310","fliR","(flaP) flagellar biosynthesis","fliLMNOPQR","flagellar biosynthesis","fliR_b1950_st",2020915,2021700
"311","dcm","DNA-cytosine methyltransferase","dcm-vsr","DNA processing","dcm_b1961_st",2028941,2030339
"312","vsr","very short patch repair by repairing the mismatches in favor of the G-containing strand","dcm-vsr","DNA processing","vsr_b1960_st",2028470,2028920
"313","cobU","cobinamide kinase and guanylyltransferase","cobUST","cobalamin (coenzyme B12) biosynthesis",NA,NA,NA
"314","cobS","cobalamin (5-phosphate) synthase	cobUST	cobalamin (coenzyme B12) biosynthesis
cobT	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyl transferase	cobUST	cobalamin (coenzyme B12) biosynthesis
hisG	ATP phosphoribosyltransferase (EC 2.4.2.17)	hisGDCBHAFE	histidine biosynthesis
hisD	L-histidinol:NAD+ oxidoreductase (EC 1.1.1.23)	hisGDCBHAFE	histidine biosynthesis
hisC	histidinol-phosphate aminotransferase (EC 2.6.1.9)	hisGDCBHAFE	histidine biosynthesis
hisB	imidazoleglycerolphosphate dehydratase (EC 4.2.1.19) and histidinol phosphate phosphatase (EC 3.1.3.15)	hisGDCBHAFE	histidine biosynthesis
hisH	amidotransferase (EC 2.4.2.-)	hisGDCBHAFE	histidine biosynthesis
hisA	N-(5-phospho-L-ribosyl-formimino)-5-amino-l-(5-phosphoribosyl)-4-imidazolecarboxamide isomerase (EC 5.3.1.16)	hisGDCBHAFE	histidine biosynthesis
hisF	cyclase	hisGDCBHAFE	histidine biosynthesis
hisI	(hisIE) phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) and phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	hisGDCBHAFE	histidine biosynthesis
rfbB	TDP-glucose oxidoreductase	rfb	O-specific lipopolysaccharide biosynthesis
rfbD	TDP-rhamnose synthetase	rfb	O-specific lipopolysaccharide biosynthesis
rfbA	TDP-glucose pyrophosphorylase	rfb	O-specific lipopolysaccharide biosynthesis
rfbC		rfb	O-specific lipopolysaccharide biosynthesis
rfbX	putative O-antigen transporter	rfb	O-specific lipopolysaccharide biosynthesis
yefE	hypothetical 43.0 kD protein; putative Galf synthesis pathway protein	rfb	O-specific lipopolysaccharide biosynthesis
rfc	putative O-antigen polymerase	rfb	O-specific lipopolysaccharide biosynthesis
yefG	hypothetical 37.8 kD protein; putative Galf transferase	rfb	O-specific lipopolysaccharide biosynthesis
yefH	putative O-acetyl transferase	rfb	O-specific lipopolysaccharide biosynthesis
yefI	putative glucose transferase	rfb	O-specific lipopolysaccharide biosynthesis
dcd	deoxycytidine triphosphate deaminase	dcd	deoxycytidine triphosphate deaminase
yegA	ORF; may be in an operon with dcd gene	dcd	deoxycytidine triphosphate deaminase
baeS	kinase	baeSR	two-component system
baeR	regulator	baeSR	two-component system
gatY	unknown	gat	galactitol uptake
gatZ	unknown	gat	galactitol uptake
gatA	EIIA domain;PTS-dependent Gat transport and phosphorylation	gat	galactitol uptake
gatB	EIIB	gat	galactitol uptake
gatC	EIIC	gat	galactitol uptake
gatD	galactitol-1-phosphate dehydrogenase	gat	galactitol uptake
mglB	galactose-binding protein; receptor for galactose taxis	mglBA	galactose transport
mglA	methyl-galactoside transport and galactose taxis, cytoplasmic membrane protein	mglBA	galactose transport
mglC	methyl-galactoside transport and galactose taxis	mglBA	galactose transport
fruB	fructose-specific IIBC component	fru	fructose uptake
fruK	1-phosphofructokinase	fru	fructose uptake
fruA	fructose-specific IIA/FPR component	fru	fructose uptake
ccmA	ABC-type ATP-dependent transporter heme exporter protein A	ccmABCDEFGH	biogenesis of c-type cytochrome
ccmB	heme exporter protein B	ccmABCDEFGH	biogenesis of c-type cytochrome
ccmC	heme exporter protein C	ccmABCDEFGH	biogenesis of c-type cytochrome
ccmD	heme exporter protein D	ccmABCDEFGH	biogenesis of c-type cytochrome
ccmE	required for the biogenesis of c-type cytochromes	ccmABCDEFGH	biogenesis of c-type cytochrome
ccmF	required for the biogenesis of c-type cytochromes	ccmABCDEFGH	biogenesis of c-type cytochrome
dsbE	(ccmG) probable thioredoxin	ccmABCDEFGH	biogenesis of c-type cytochrome
ccmH	required for the biogenesis of c-type cytochromes	ccmABCDEFGH	biogenesis of c-type cytochrome
napA	probable nitrate reductase	napAGHBC	electron transfer
napG	ferredoxin-type protein	napAGHBC	electron transfer
napH	ferredoxin-type protein	napAGHBC	electron transfer
napB	cytochrome c-type protein	napAGHBC	electron transfer
napC	cytochrome c-type protein	napAGHBC	electron transfer
ada	O6-methylguanine-DNA methyltransferase; regulatory protein which activates the transcription of alkA, alkB and aidB	ada-alkB	DNA repair
alkB	AlkB protein; repairing DNA alkylation damage	ada-alkB	DNA repair
atoS	kinase	atoSC	two-component system
atoC	regulator; ornithine decarboxylase antizyme	atoSC	two-component system
atoD	acetyl-CoA:acetoacetyl-CoA transferase (EC 2.8.3.8) subunit A	atoDAB	short-chain fatty acids metabolism
atoA	acetyl-CoA:acetoacetyl-CoA transferase (EC 2.8.3.8) subunit B	atoDAB	short-chain fatty acids metabolism
atoB	acetyl-CoA acetyltransferase (EC 2.3.1.9)	atoDAB	short-chain fatty acids metabolism
nrdA	ribonucleoside diphosphate reductase B1 subunit	nrdAB	ribonucleoside diphosphate reductase
nrdB	ribonucleoside diphosphate reductase B2 subunit	nrdAB	ribonucleoside diphosphate reductase
glpT	sn-glycerol-3-phosphate permease	glpTQ	sn-glycerol-3-phosphate uptake
glpQ	glycerophosphodiester diesterase (EC 3.1.4.46)	glpTQ	sn-glycerol-3-phosphate uptake
glpA	glycerol-3-phosphate dehydrogenase subunit A	glpABC	glycerol-3-phosphate dehydrogenase
glpB	glycerol-3-phosphate dehydrogenase subunit B	glpABC	glycerol-3-phosphate dehydrogenase
glpC	glycerol-3-phosphate dehydrogenase subunit C	glpABC	glycerol-3-phosphate dehydrogenase
menF		menFDBCE	menaquinone (vitamin K2) biosynthesis
menD		menFDBCE	menaquinone (vitamin K2) biosynthesis
yfbB		menFDBCE	menaquinone (vitamin K2) biosynthesis
menB		menFDBCE	menaquinone (vitamin K2) biosynthesis
menC	OSB synthase; o-succinylbenzoate synthase	menFDBCE	menaquinone (vitamin K2) biosynthesis
menE	OSB-CoA synthase; o-succinylbenzoate-CoA synthase	menFDBCE	menaquinone (vitamin K2) biosynthesis
nuoA	NADH dehydrogenase I, subunit NuoA	nuo	NADH dehydrogenase
nuoB	NADH dehydrogenase I, subunit NuoB	nuo	NADH dehydrogenase
2244	(nuoD) NADH dehydrogenase I, subunit NuoD	nuo	NADH dehydrogenase
nuoE	NADH dehydrogenase I, subunit NuoE	nuo	NADH dehydrogenase
nuoF	NADH dehydrogenase I, subunit NuoF	nuo	NADH dehydrogenase
nuoG	NADH dehydrogenase I, subunit NuoG	nuo	NADH dehydrogenase
nuoH	NADH dehydrogenase I, subunit NuoH	nuo	NADH dehydrogenase
nuoI	NADH dehydrogenase I, subunit NuoI	nuo	NADH dehydrogenase
nuoJ	NADH dehydrogenase I, subunit NuoJ	nuo	NADH dehydrogenase
nuoK	NADH dehydrogenase I, subunit NuoK	nuo	NADH dehydrogenase
nuoL	NADH dehydrogenase I, subunit NuoL	nuo	NADH dehydrogenase
nuoM	NADH dehydrogenase I, subunit NuoM	nuo	NADH dehydrogenase
nuoN	NADH dehydrogenase I, subunit NuoN	nuo	NADH dehydrogenase
ackA	acetate kinase	ackA-pta	the activation of acetate to acetyl CoA
pta	phosphoacetyltransferase	ackA-pta	the activation of acetate to acetyl CoA
hisM	histidine transport system permease protein HisM	hisMP	histidine transport
hisP 	histidine transport ATP-binding protein HisP	hisMP	histidine transport
cvpA	dedE;colicin V production protein	purF	de novo purine nucleotide biosynthes
purF	amidophosphoribosyltransferase (EC 2.4.2.14)	purF	de novo purine nucleotide biosynthes
ubiX	dedF;3-octaprenyl-4-hydroxybenzoate carboxy-lyase	purF	de novo purine nucleotide biosynthes
Regulation	terminator	purF	de novo purine nucleotide biosynthes
folC	(dedC) folylpolyglutamate synthase (EC 6.3.2.17)	dedCD	folylpolyglutamate synthase
dedD	DedD protein	dedCD	folylpolyglutamate synthase
Regulation	terminator	dedCD	folylpolyglutamate synthase
pdxB	pseudouridine synthase I	hisT	pseudouridine synthase
usg	(usg1) Usg protein	hisT	pseudouridine synthase
truA	(hisT) pseudouridine synthase 1	hisT	pseudouridine synthase
dedA	Dsg protein	hisT	pseudouridine synthase
accD	(dedB) acetyl-CoA carboxylase beta subunit	hisT	pseudouridine synthase
Regulation	terminator	hisT	pseudouridine synthase
dsdX	probable permease for an unknown substrate	dsdXA	D-serine uptake
dsdA	D-serine deaminase	dsdXA	D-serine uptake
xapA	xanthosine phosphorylase	xapAB	xanthosine uptake
xapB	xanthosine permease	xapAB	xanthosine uptake
ptsH	sugar phosphotransferase HPr	pts	sugar uptake
ptsI	enzyme I	pts	sugar uptake
crr	enzyme III for glucose	pts	sugar uptake
Regulation	terminator	pts	sugar uptake
cysP	thiosulfate binding protein	cysPTWAM	thiosulfate transport
cysU	(cysT) sulfate permease T protein	cysPTWAM	thiosulfate transport
cysW	sulfate permease W protein	cysPTWAM	thiosulfate transport
cysA	sulfate permease A protein; chromate resistance	cysPTWAM	thiosulfate transport
cysM	O-acetylserine sulfhydrolase B (EC 4.2.99.8)	cysPTWAM	thiosulfate transport
amiA	probable n-acetylmuramoyl-l-alanine amidase	amiAhemF	coproporphyrinogen oxidase
hemF	coproporphyrinogen oxidase	amiAhemF	coproporphyrinogen oxidase
dapA	dihydrodipicolinate synthase (EC 4.2.1.52)	dapAnlp	lysine biosynthesis
nlpB	lipoprotein-34	dapAnlp	lysine biosynthesis
upp	uracil phosphoribosyltransferase	upp-uraA	utilization of uracil
uraA	uracil permease	upp-uraA	utilization of uracil
purM	phosphoribosylformylglycinamidine cyclo-ligase	purMN	de novo purine biosynthesis
purN	phosphoribosylglycinamidine formyltransferase	purMN	de novo purine biosynthesis
ppk	polyphosphate kinase	ppx	degradation of inorganic polyphosphates
ppx	exopolyphosphatase	ppx	degradation of inorganic polyphosphates
guaB	IMP dehydrogenase	guaBA	purine catabolite
guaA	GMP synthetase	guaBA	purine catabolite
Regulation	PDX box	pdxJ	pyridoxal 5-phosphate biosynthesis","","","cobS_b1992_st",2062501,2063240
"315","pdxJ","pyridoxal phosphate biosynthesis","pdxJ","pyridoxal 5-phosphate biosynthesis
acpS	holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	pdxJ	pyridoxal 5-phosphate biosynthesis","pdxJ_b2564_st",2699019,2699749
"316","rnc","RNase III","rnc","DNA/RNA processing","rnc_b2567_st",2701407,2702083
"317","era","GTP-binding protein era","rnc","DNA/RNA processing","era_b2566_st",2700501,2701402
"318","recO","conjugational recombination and DNA repair","rnc","DNA/RNA processing","recO_b2565_st",2699761,2700489
"319","lepA","GTP binding protein","lepAB","secretory machinery","lepA_b2569_st",2703345,2705144
"320","lepB","signal peptidase I","lepAB","secretory machinery","lepB_b2568_st",2702355,2703329
"321","aroF","DHAP synthetase","tyr","biosynthesis of aromatic amino acids","aroF_b2601_st",2738100,2739170
"322","tyrA","chorismate mutase/prephenate dehydratase","tyr","biosynthesis of aromatic amino acids","tyrA_b2600_st",2736968,2738089
"323","Regulation","terminator","tyr","biosynthesis of aromatic amino acids",NA,NA,NA
"324","rpsP","ribosomal protein S16","trmD","ribosomal protein","rpsP_b2609_st",2743957,2744205
"325","yfjA","","trmD","ribosomal protein","yfjA_b2608_st",2743390,2743947
"326","trmD","tRNA (m1G) methyltransferae","trmD","ribosomal protein","trmD_b2607_st",2742592,2743359
"327","rplS","ribosomal protein L19","trmD","ribosomal protein","rplS_b2606_st",2742203,2742550
"328","nrdE","ribonucleoside-diphosphate reductase 2 alpha chain","nrdEF","one of two class I ribonucleotide reductases","nrdE_b2675_st",2799397,2801513
"329","nrdF","ribonucleoside-diphosphate reductase 2 beta chain","nrdEF","one of two class I ribonucleotide reductases","nrdF_b2676_st",2801523,2802482
"330","proV","high-affinity transport system for glycine betaine and proline;glycine betaine-binding protein","proVWX","proline transport","proV_b2677_st",2802836,2804030
"331","proW","high-affinity transport system for glycine betaine and proline","proVWX","proline transport","proW_b2678_st",2804039,2805095
"332","proX","periplasmic glycine betaine-binding protein","proVWX","proline transport","proX_b2679_st",2805153,2806145
"333","srlA_1","(gutA) D-glucose (sorbitol)-specific enzyme II of phosphotransferase system","srlABD","glucitol uptake PTS","srlA_b2702_st",2823855,2824414
"334","srlA_2","","srlABD","glucitol uptake PTS","srlE_b2703_st",2824419,2825374
"335","srlB","(gutB) D-glucose (sorbitol)-specific enzyme III of phosphotransferase system","srlABD","glucitol uptake PTS","srlB_b2704_st",2825385,2825756
"336","srlD","(gutD) glucitol (sorbitol)-6-phosphate dehydrogenase (EC 1.1.1.140)","srlABD","glucitol uptake PTS","srlD_b2705_st",2825760,2826539
"337","gutM","activator","srlABD","glucitol uptake PTS","gutM_b2706_st",2826644,2827003
"338","srlR","(gutR) repressor","srlABD","glucitol uptake PTS","srlR_b2707_st",2827070,2827843
"339","gutQ","","srlABD","glucitol uptake PTS","gutQ_b2708_st",2827875,2828801
"340","ascF","phosphotransferase enzyme II (asc) cryptic, transports specific beta-glucosides (EC 2.7.1.69)","ascFB","cryptic sugar transport","ascF_b2715_st",2837547,2839004
"341","ascB","6-phospho-beta-glucosidase (EC 3.2.1.86); cryptic","ascFB","cryptic sugar transport","ascB_b2716_st",2839013,2840437
"342","hycA","transcriptional repression of hyc and hyp operons","hyc","hydrogenase-3","hycA_b2725_st",2847997,2848458
"343","hycB","probable small subunit of hydrogenase-3, iron-sulfur protein (part of formate hydrogen-lyase [FHL] complex) (EC 1.18.99.1)","hyc","hydrogenase-3","hycB_b2724_st",2847265,2847872
"344","hycC","membrane-spanning protein of hydrogenase 3 (part of FHL complex) (EC 1.18.99.1)","hyc","hydrogenase-3","hycC_b2723_st",2845438,2847260
"345","hycD","membrane-spanning protein of hydrogenase 3 (part of FHL complex) (EC 1.18.99.1)","hyc","hydrogenase-3","hycD_b2722_st",2844512,2845435
"346","hycE","probable iron-sulfur protein of hydrogenase 3 (part of FHL complex) (EC 1.18.99.1)","hyc","hydrogenase-3","hycE_b2721_st",2842785,2844494
"347","hycF","probable iron-sulfur protein of hydrogenase 3 (part of FHL complex) (EC 1.18.99.1)","hyc","hydrogenase-3","hycF_b2720_st",2842234,2842775
"348","hycG","hydrogenase activity","hyc","hydrogenase-3","hycG_b2719_st",2841470,2842232
"349","hycH","processing of large subunit (HycE) of hydrogenase 3 (part of the FHL complex)","hyc","hydrogenase-3","hycH_b2718_st",2841067,2841465
"350","hypA","pleiotrophic effects on three hydrogenase isozymes","hypABCDE","hydrogenase","hypA_b2726_st",2848670,2849020
"351","hypB","pleiotrophic effects on three hydrogenase isozymes","hypABCDE","hydrogenase","hypB_b2727_st",2849024,2849886
"352","hypC","pleiotrophic effects on three hydrogenase isozymes","hypABCDE","hydrogenase","hypC_b2728_st",2849897,2850158
"353","hypD","pleiotrophic effects on three hydrogenase isozymes","hypABCDE","hydrogenase","hypD_b2729_st",2850160,2851280
"354","hypE","","hypABCDE","hydrogenase","hypE_b2730_st",2851319,2852287
"355","cysD","ATP:sulfate adenyltransferase (EC 2.7.7.4), subunit","cysDNC","cysteine biosynthetic pathway","cysD_b2752_st",2873444,2874352
"356","cysN","ATP-sulfurylase (ATP:sulfate adenylyltransferase) (EC 2.7.7.4),subunit","cysDNC","cysteine biosynthetic pathway","cysN_b2751_st",2872016,2873442
"357","cysC","adenosine 5-phosphosulfate kinase (EC 2.7.1.25)	cysDNC	cysteine biosynthetic pathway
cysJ	sulfite reductase (NADPH) flavoprotein beta subunit	cysJIH	cysteine biosynthesis
cysI	sulfite reductase (NADPH) hemoprotein alpha subunit	cysJIH	cysteine biosynthesis
cysH	3-phosphoadenosine 5-phosphosulfate sulfotransferase	cysJIH	cysteine biosynthesis
relA	ATP:GTP 3-pyrophosphotransferase","relA","the stringent response to amino acid starvation","cysC_b2750_st",2871410,2872014
"358","chpR","(mazE) homologous to plasmid R100 pemI gene","relA","the stringent response to amino acid starvation","chpR_b2783_st",2909114,2909361
"359","chpA","(mazF) homologous to plasmid R100 pemK gene","relA","the stringent response to amino acid starvation","chpA_b2782_st",2908778,2909112
"360","mazG","homologous to a /Streptomyces cacaoi/ beta-lactamase","relA","the stringent response to amino acid starvation","mazG_b2781_st",2907916,2908707
